,1,2,3,4,5,hand_orientation,letter
333,1,straight,straight,closed,bent,horizontal,h
334,1,straight,straight,bent,bent,horizontal,h
335,1,straight,straight,bent,bent,horizontal,h
336,1,straight,straight,bent,bent,horizontal,h
337,1,straight,straight,bent,bent,horizontal,h
338,1,straight,straight,bent,bent,horizontal,h
339,1,straight,straight,bent,straight,horizontal,h
340,1,straight,straight,bent,bent,horizontal,h
341,1,straight,straight,bent,bent,horizontal,h
342,1,straight,straight,bent,bent,horizontal,h
343,1,straight,straight,bent,bent,horizontal,h
344,1,straight,straight,bent,bent,horizontal,h
345,1,straight,straight,straight,straight,horizontal,h
346,1,straight,straight,bent,bent,horizontal,h
347,1,straight,straight,bent,bent,horizontal,h
348,1,straight,straight,bent,bent,horizontal,h
349,1,straight,straight,bent,bent,horizontal,h
350,1,straight,straight,bent,bent,horizontal,h
351,1,straight,straight,bent,bent,horizontal,h
352,1,straight,straight,bent,bent,horizontal,h
353,1,straight,straight,bent,bent,horizontal,h
354,1,straight,straight,bent,bent,horizontal,h
355,1,straight,straight,bent,bent,horizontal,h
356,1,straight,straight,bent,bent,horizontal,h
357,1,straight,straight,bent,bent,horizontal,h
358,1,straight,straight,bent,bent,horizontal,h
359,1,straight,straight,straight,bent,horizontal,h
360,1,straight,straight,straight,bent,horizontal,h
361,1,straight,straight,straight,bent,horizontal,h
362,1,straight,straight,straight,bent,horizontal,h
363,1,straight,straight,closed,closed,horizontal,h
364,1,straight,straight,bent,closed,horizontal,h
365,2,bent,bent,bent,straight,vertical,i
366,2,bent,bent,bent,straight,vertical,i
367,2,bent,bent,bent,straight,vertical,i
368,3,bent,bent,bent,straight,vertical,i
369,3,bent,bent,bent,straight,vertical,i
370,3,straight,straight,bent,bent,vertical,i
371,1,straight,bent,bent,straight,vertical,i
372,2,bent,bent,bent,straight,vertical,i
373,4,bent,bent,bent,straight,vertical,i
374,1,bent,bent,closed,straight,vertical,i
375,4,bent,bent,bent,straight,vertical,i
376,1,bent,bent,bent,straight,vertical,i
377,4,bent,bent,bent,straight,vertical,i
378,3,bent,bent,closed,straight,vertical,i
379,3,bent,bent,closed,straight,vertical,i
380,2,bent,bent,closed,straight,vertical,i
381,4,bent,bent,closed,straight,vertical,i
382,4,bent,bent,closed,straight,vertical,i
383,4,bent,bent,bent,straight,vertical,i
384,1,straight,bent,bent,bent,vertical,i
385,3,bent,bent,bent,straight,vertical,i
386,3,bent,bent,bent,straight,vertical,i
387,1,closed,closed,closed,straight,vertical,i
388,3,straight,straight,bent,straight,vertical,i
389,3,bent,bent,bent,straight,vertical,i
390,3,bent,bent,bent,straight,vertical,i
391,3,bent,bent,bent,straight,vertical,i
392,3,bent,bent,bent,straight,vertical,i
393,3,bent,bent,bent,straight,vertical,i
394,3,straight,straight,bent,straight,vertical,i
395,3,bent,bent,bent,straight,vertical,i
396,2,straight,bent,bent,straight,vertical,i
397,3,bent,bent,bent,straight,vertical,i
398,3,bent,straight,closed,straight,vertical,i
399,3,bent,straight,closed,straight,vertical,i
400,3,bent,bent,bent,straight,vertical,i
401,2,bent,bent,closed,straight,vertical,i
402,2,bent,bent,bent,straight,vertical,i
403,2,bent,bent,closed,straight,vertical,i
404,2,bent,bent,closed,straight,vertical,i
405,3,bent,bent,closed,straight,vertical,i
406,3,bent,bent,bent,straight,vertical,i
407,3,bent,bent,bent,straight,vertical,i
408,2,bent,bent,bent,straight,vertical,i
409,2,bent,bent,bent,straight,vertical,i
410,2,bent,bent,bent,straight,vertical,i
411,3,bent,bent,bent,straight,vertical,i
412,3,bent,bent,bent,straight,vertical,i
413,3,bent,bent,bent,straight,vertical,i
414,1,bent,bent,bent,straight,vertical,i
415,1,bent,bent,closed,straight,vertical,i
416,4,bent,bent,bent,straight,vertical,i
417,1,straight,straight,straight,straight,vertical,i
418,3,bent,bent,bent,straight,vertical,i
419,2,bent,bent,bent,straight,vertical,i
420,4,straight,bent,bent,straight,vertical,i
421,3,bent,bent,bent,straight,vertical,i
422,3,bent,bent,bent,straight,vertical,i
423,1,bent,bent,bent,straight,vertical,i
424,1,bent,bent,bent,straight,vertical,i
425,4,bent,bent,bent,straight,vertical,i
426,3,bent,bent,closed,straight,vertical,i
427,1,bent,bent,bent,straight,vertical,i
428,1,bent,bent,bent,straight,vertical,i
429,1,bent,bent,bent,straight,vertical,i
430,3,straight,straight,bent,bent,vertical,k
431,3,straight,straight,bent,bent,vertical,k
432,3,straight,straight,closed,bent,vertical,k
433,3,straight,straight,bent,bent,vertical,k
434,2,straight,straight,straight,straight,vertical,k
435,3,straight,straight,straight,straight,vertical,k
436,2,straight,straight,bent,bent,vertical,k
437,2,straight,straight,bent,bent,vertical,k
438,2,straight,straight,bent,bent,vertical,k
439,2,straight,straight,bent,bent,vertical,k
440,2,straight,straight,bent,bent,vertical,k
441,2,straight,straight,bent,bent,vertical,k
442,2,straight,straight,bent,bent,vertical,k
443,2,straight,straight,bent,bent,vertical,k
444,2,straight,straight,bent,bent,vertical,k
445,2,straight,straight,bent,bent,vertical,k
446,3,straight,straight,bent,bent,vertical,k
447,3,straight,straight,bent,bent,vertical,k
448,2,straight,straight,closed,bent,vertical,k
449,3,straight,straight,closed,closed,vertical,k
450,4,straight,straight,bent,bent,vertical,k
451,1,straight,straight,bent,bent,vertical,k
452,2,straight,straight,bent,bent,vertical,k
453,2,straight,straight,bent,bent,vertical,k
454,2,straight,straight,bent,bent,vertical,k
455,3,straight,straight,closed,bent,vertical,k
456,2,straight,straight,bent,bent,vertical,k
457,2,straight,straight,bent,bent,vertical,k
458,2,straight,straight,bent,bent,vertical,k
459,2,straight,straight,straight,bent,vertical,k
460,2,straight,straight,bent,bent,vertical,k
461,2,straight,straight,bent,closed,vertical,k
462,2,straight,straight,closed,closed,vertical,k
463,2,straight,straight,bent,bent,vertical,k
464,1,straight,straight,bent,bent,vertical,k
465,1,straight,straight,bent,bent,vertical,k
466,1,straight,straight,bent,bent,vertical,k
467,1,straight,straight,bent,bent,vertical,k
468,1,straight,straight,bent,bent,vertical,k
469,2,straight,straight,bent,bent,vertical,k
470,2,straight,straight,bent,bent,vertical,k
471,2,straight,straight,bent,bent,vertical,k
472,2,straight,straight,bent,bent,vertical,k
473,2,straight,straight,bent,bent,vertical,k
474,1,straight,straight,bent,bent,vertical,k
475,1,straight,bent,bent,bent,vertical,l
476,1,straight,bent,bent,bent,vertical,l
477,1,straight,bent,closed,bent,vertical,l
478,1,straight,bent,bent,bent,horizontal,l
479,1,straight,bent,bent,bent,vertical,l
480,1,straight,bent,bent,bent,vertical,l
481,1,straight,bent,bent,bent,vertical,l
482,1,straight,bent,bent,bent,vertical,l
483,1,straight,straight,bent,closed,vertical,l
484,1,straight,bent,bent,closed,vertical,l
485,1,straight,bent,bent,bent,vertical,l
486,1,straight,bent,bent,bent,vertical,l
487,1,straight,bent,bent,bent,vertical,l
488,1,straight,bent,bent,bent,vertical,l
489,1,straight,bent,bent,bent,vertical,l
490,1,straight,bent,bent,bent,vertical,l
491,1,straight,closed,bent,bent,vertical,l
492,1,straight,bent,bent,bent,vertical,l
493,1,straight,bent,bent,bent,vertical,l
494,1,straight,bent,bent,bent,vertical,l
495,1,straight,bent,bent,bent,vertical,l
496,1,straight,bent,bent,bent,vertical,l
497,1,straight,bent,bent,bent,vertical,l
498,1,straight,bent,bent,bent,vertical,l
499,1,straight,bent,bent,bent,vertical,l
500,1,straight,bent,bent,bent,vertical,l
501,1,straight,bent,bent,bent,vertical,l
502,1,straight,straight,straight,straight,vertical,l
503,1,straight,straight,straight,straight,vertical,l
504,1,straight,straight,straight,straight,vertical,l
505,1,straight,bent,bent,bent,vertical,l
506,1,straight,bent,bent,bent,vertical,l
507,1,straight,bent,bent,bent,vertical,l
508,1,straight,bent,bent,closed,vertical,l
509,1,straight,bent,bent,closed,vertical,l
510,1,straight,bent,bent,closed,vertical,l
511,1,straight,bent,bent,bent,vertical,l
512,1,straight,straight,straight,straight,vertical,l
513,1,straight,bent,bent,bent,vertical,l
514,1,straight,bent,bent,bent,vertical,l
515,1,straight,bent,bent,bent,vertical,l
516,1,straight,bent,closed,closed,vertical,l
517,1,straight,bent,closed,closed,vertical,l
518,1,straight,bent,closed,closed,vertical,l
519,1,straight,bent,bent,bent,vertical,l
520,1,straight,bent,bent,bent,vertical,l
521,1,straight,bent,bent,bent,vertical,l
522,1,straight,bent,bent,bent,vertical,l
523,1,straight,bent,bent,bent,vertical,l
524,1,straight,bent,bent,bent,vertical,l
525,1,straight,bent,bent,bent,vertical,l
526,1,straight,bent,bent,bent,vertical,l
527,1,straight,bent,bent,bent,vertical,l
528,1,straight,bent,bent,bent,vertical,l
529,1,straight,bent,bent,bent,vertical,l
530,1,straight,bent,bent,straight,vertical,l
531,1,straight,bent,bent,bent,vertical,l
532,1,straight,bent,bent,bent,vertical,l
533,1,straight,bent,bent,bent,vertical,l
534,1,straight,bent,bent,bent,vertical,l
535,1,straight,bent,closed,bent,vertical,l
536,1,straight,bent,bent,bent,vertical,l
537,1,straight,straight,straight,straight,vertical,l
538,1,straight,straight,bent,bent,vertical,l
539,3,bent,bent,bent,bent,vertical,m
540,1,bent,bent,bent,bent,vertical,m
541,1,bent,bent,bent,closed,vertical,m
542,1,bent,bent,bent,bent,vertical,m
543,3,bent,bent,bent,bent,vertical,m
544,3,bent,bent,bent,bent,vertical,m
545,3,bent,bent,bent,bent,vertical,m
546,1,bent,bent,bent,bent,vertical,m
547,1,bent,bent,bent,bent,vertical,m
548,1,bent,bent,bent,bent,vertical,m
549,4,bent,bent,bent,bent,vertical,m
550,4,bent,bent,bent,closed,vertical,m
551,4,bent,bent,bent,closed,vertical,m
552,1,straight,bent,bent,bent,vertical,m
553,2,straight,bent,bent,bent,vertical,m
554,2,bent,bent,bent,bent,vertical,m
555,1,bent,bent,bent,closed,vertical,m
556,2,bent,bent,bent,closed,vertical,m
557,3,bent,bent,bent,bent,vertical,m
558,1,bent,bent,bent,bent,vertical,m
559,3,bent,bent,bent,bent,vertical,m
560,1,bent,bent,bent,bent,vertical,m
561,2,bent,bent,bent,closed,vertical,m
562,2,bent,bent,bent,bent,vertical,m
563,1,bent,bent,bent,bent,vertical,m
564,1,bent,bent,bent,closed,vertical,m
565,1,bent,bent,bent,bent,vertical,m
566,1,bent,bent,bent,bent,vertical,m
567,1,bent,bent,bent,bent,vertical,m
568,1,bent,bent,bent,bent,vertical,m
569,3,bent,bent,bent,closed,vertical,m
570,1,bent,bent,bent,closed,vertical,m
571,2,straight,bent,bent,bent,vertical,m
572,4,straight,straight,straight,straight,vertical,m
573,2,straight,straight,bent,bent,vertical,m
574,1,straight,straight,straight,straight,vertical,m
575,1,straight,straight,straight,bent,vertical,m
576,2,closed,closed,closed,bent,horizontal,m
577,4,bent,bent,bent,closed,vertical,m
578,3,bent,bent,bent,bent,vertical,m
579,2,bent,bent,bent,bent,vertical,m
580,1,straight,straight,straight,straight,vertical,m
581,3,bent,bent,closed,bent,vertical,n
582,3,bent,bent,bent,bent,vertical,n
583,3,bent,bent,bent,bent,vertical,n
584,2,bent,bent,bent,bent,vertical,n
585,3,bent,bent,closed,bent,vertical,n
586,3,bent,bent,closed,bent,vertical,n
587,2,bent,bent,closed,closed,vertical,n
588,1,straight,straight,bent,bent,horizontal,n
589,1,straight,straight,straight,straight,vertical,n
590,3,bent,bent,bent,closed,vertical,n
591,3,bent,bent,bent,bent,vertical,n
592,3,bent,bent,bent,bent,vertical,n
593,3,bent,bent,bent,bent,vertical,n
594,3,bent,bent,bent,bent,vertical,n
595,1,bent,bent,bent,bent,vertical,n
596,1,bent,bent,bent,bent,vertical,n
597,2,bent,bent,bent,bent,vertical,n
598,3,closed,bent,bent,bent,vertical,n
599,3,closed,bent,bent,bent,vertical,n
600,3,straight,straight,bent,bent,vertical,n
601,3,bent,bent,bent,bent,vertical,n
602,3,bent,bent,bent,bent,vertical,n
603,3,bent,bent,closed,bent,vertical,n
604,3,bent,bent,bent,bent,vertical,n
605,3,bent,bent,closed,bent,vertical,n
606,3,bent,bent,closed,bent,vertical,n
607,3,bent,bent,closed,bent,vertical,n
608,2,bent,bent,closed,closed,vertical,n
609,3,bent,bent,closed,bent,vertical,n
610,2,bent,bent,closed,closed,vertical,n
611,2,bent,bent,closed,closed,vertical,n
612,2,bent,closed,closed,closed,vertical,n
613,2,bent,bent,closed,closed,vertical,n
614,3,bent,bent,closed,bent,vertical,n
615,3,bent,bent,closed,closed,vertical,n
616,3,bent,bent,closed,closed,vertical,n
617,3,closed,bent,closed,closed,vertical,n
618,3,bent,bent,closed,closed,vertical,n
619,1,bent,bent,bent,bent,vertical,n
620,2,bent,bent,bent,closed,vertical,n
621,1,bent,bent,bent,closed,vertical,n
622,3,bent,bent,closed,bent,vertical,n
623,3,bent,bent,bent,bent,vertical,n
624,3,bent,bent,bent,bent,vertical,n
625,1,bent,bent,closed,closed,vertical,n
626,2,bent,bent,bent,bent,vertical,n
627,2,bent,bent,bent,bent,vertical,n
628,1,straight,straight,straight,straight,vertical,o
